Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
ZTE CORP. H          YC 1,CNE1000004Y2,17613,000A0M4ZP,FZM,XETR,http://www.finanzen.at/aktien/ZTE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AROUNDTOWN PROP.HLDGS,CY0105562116,2487,000A14QGA,AT1,XETR,http://www.finanzen.at/aktien/Aroundtown_Property-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FINLAB AG   NA O.N.,DE0001218063,4067,121806,A7A,XETR,http://www.finanzen.at/aktien/Altira-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
B+S BANKSYSTEME AG O.N.,DE0001262152,3431,126215,DTD2,XETR,http://www.finanzen.at/aktien/B-S-Banksysteme-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VIB VERMOEGEN O.N.,DE0002457512,9522,245751,VIH,XETR,http://www.finanzen.at/aktien/VIB_Vermoegen-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAVARIA INDS GRP   O.N.,DE0002605557,9789,260555,B8A,XETR,http://www.finanzen.at/aktien/BAVARIA_Industries-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SOFTWARE AG O.N.,DE0003304002,4106,330400,SOW,XETR,http://www.finanzen.at/aktien/Software-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GERRY WEBER INTERNAT.O.N.,DE0003304101,1902,330410,GWI1,XETR,http://www.finanzen.at/aktien/GERRY_WEBER-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BMP HOLDING AG O.N.,DE0003304200,1823,330420,BTBA,XETR,http://www.finanzen.at/aktien/bmp_Holding-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ADLER REAL ESTATE AG,DE0005008007,1757,500800,ADL,XETR,http://www.finanzen.at/aktien/Adler_Real_Estate-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AAP IMPLANTATE AG,DE0005066609,2599,506660,AAQ,XETR,http://www.finanzen.at/aktien/aap_Implantate-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALLGEIER SE  O.N.,DE0005086300,9256,508630,AEI,XETR,http://www.finanzen.at/aktien/Allgeier-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAADER BANK AG,DE0005088108,1732,508810,BWB,XETR,http://www.finanzen.at/aktien/Baader_Bank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
UTD.INTERNET AG NA,DE0005089031,18844,508903,UTDI,XETR,http://www.finanzen.at/aktien/United_Internet-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AMADEUS FIRE AG,DE0005093108,703,509310,AAD,XETR,http://www.finanzen.at/aktien/Amadeus_FiRe-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BASLER AG O.N.,DE0005102008,2482,510200,BSL,XETR,http://www.finanzen.at/aktien/Basler-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ADVA OPT.NETW.SE  O.N.,DE0005103006,2522,510300,ADV,XETR,http://www.finanzen.at/aktien/ADVA_Optical_Networking_SE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ATOSS SOFTWARE AG,DE0005104400,3535,510440,AOF,XETR,http://www.finanzen.at/aktien/ATOSS_Software-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SYZYGY AG O.N.,DE0005104806,4149,510480,SYZ,XETR,http://www.finanzen.at/aktien/syzygy-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALL FOR ONE STEEB AG,DE0005110001,179,511000,A1OS,XETR,http://www.finanzen.at/aktien/All_for_One_Steeb-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ZOOPLUS AG,DE0005111702,2532,511170,ZO1,XETR,http://www.finanzen.at/aktien/zooplus-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
11 88 0 SOLUTIONS AG,DE0005118806,2539,511880,TGT,XETR,http://www.finanzen.at/aktien/11880_Solutions-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MSG LIFE AG  O.N.,DE0005130108,3882,513010,MSGL,XETR,http://www.finanzen.at/aktien/msg_life-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
QSC AG NA O.N.,DE0005137004,4000,513700,QSC,XETR,http://www.finanzen.at/aktien/QSC-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DEUTSCHE BANK AG NA O.N.,DE0005140008,2841,514000,DBK,XETR,http://www.finanzen.at/aktien/Deutsche_Bank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SINNERSCHRADER O.N.,DE0005141907,119,514190,SZZ,XETR,http://www.finanzen.at/aktien/SinnerSchrader-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DELTICOM AG,DE0005146807,12284,514680,DEX,XETR,http://www.finanzen.at/aktien/Delticom-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GIGASET AG O.N.,DE0005156004,1729,515600,GGS,XETR,http://www.finanzen.at/aktien/Gigaset-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SCHWEIZER ELECTR. NA O.N.,DE0005156236,9783,515623,SCE,XETR,http://www.finanzen.at/aktien/Schweizer_Electronic-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DR. HOENLE AG O.N.,DE0005157101,5288,515710,HNL,XETR,http://www.finanzen.at/aktien/Dr_Hoenle-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BECHTLE AG O.N.,DE0005158703,3904,515870,BC8,XETR,http://www.finanzen.at/aktien/Bechtle-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
3U HOLDING AG,DE0005167902,3365,516790,UUU,XETR,http://www.finanzen.at/aktien/3U-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAUER AG,DE0005168108,11633,516810,B5A,XETR,http://www.finanzen.at/aktien/BAUER-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ASKNET AG NA O.N.,DE0005173306,9090,517330,A5A,XETR,http://www.finanzen.at/aktien/Asknet-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SURTECO SE,DE0005176903,3130,517690,SUR,XETR,http://www.finanzen.at/aktien/SURTECO-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SOFTING AG O.N.,DE0005178008,14759,517800,SYT,XETR,http://www.finanzen.at/aktien/Softing-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAY.MOTOREN WERKE AG ST,DE0005190003,22,519000,BMW,XETR,http://www.finanzen.at/aktien/BMW-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAY.MOTOREN WERKE  VZO,DE0005190037,23,519003,BMW3,XETR,http://www.finanzen.at/aktien/BMW_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAYWA AG NA.,DE0005194005,15088,519400,BYW,XETR,http://www.finanzen.at/aktien/BayWa_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BAYWA AG VINK.NA. O.N.,DE0005194062,9945,519406,BYW6,XETR,http://www.finanzen.at/aktien/BayWa-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
J.F.BEHRENS AG O.N.,DE0005198907,220,519890,JFB,XETR,http://www.finanzen.at/aktien/Joh_Friedrich_Behrens-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LUDW.BECK A.RATHAUSECK,DE0005199905,1720,519990,ECK,XETR,http://www.finanzen.at/aktien/Ludwig_Beck-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BEIERSDORF AG O.N.,DE0005200000,24,520000,BEI,XETR,http://www.finanzen.at/aktien/Beiersdorf-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BERENTZEN-GRP.AG,DE0005201602,866,520160,BEZ,XETR,http://www.finanzen.at/aktien/Berentzen-Gruppe_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
QUIRIN BANK AG,DE0005202303,5271,520230,QB7,XETR,http://www.finanzen.at/aktien/quirin_bank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
B.R.A.I.N. NA,DE0005203947,1705,520394,BNN,XETR,http://www.finanzen.at/aktien/Brain-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ARTEC TECHNOLOGIES O.N.,DE0005209589,1559,520958,A6T,XETR,http://www.finanzen.at/aktien/Artec_Technologies-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MOBOTIX AG O.N.,DE0005218309,11986,521830,MBQ,XETR,http://www.finanzen.at/aktien/Mobotix-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ENBW ENERGIE BAD.-WUE. ON,DE0005220008,1710,522000,EBK,XETR,http://www.finanzen.at/aktien/EnBW-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NEXUS AG O.N.,DE0005220909,17440,522090,NXU,XETR,http://www.finanzen.at/aktien/NEXUS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BIOTEST AG ST O.N.,DE0005227201,1707,522720,BIO,XETR,http://www.finanzen.at/aktien/Biotest_3-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BIOTEST AG VZ O.N.,DE0005227235,1706,522723,BIO3,XETR,http://www.finanzen.at/aktien/Biotest-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ORBIS AG O.N.,DE0005228779,19886,522877,OBS,XETR,http://www.finanzen.at/aktien/ORBIS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BIJOU BRIGITTE O.N.,DE0005229504,1704,522950,BIJ,XETR,http://www.finanzen.at/aktien/Bijou_Brigitte_modische_Accessoires-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BERTRANDT AG O.N.,DE0005232805,27,523280,BDT,XETR,http://www.finanzen.at/aktien/Bertrandt-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
UMT UTD MOB.TECHN.AG,DE0005286108,310,528610,UMD,XETR,http://www.finanzen.at/aktien/UMT_United_Mobility_Technology-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HOMAG GROUP AG,DE0005297204,519,529720,HG1,XETR,http://www.finanzen.at/aktien/Homag_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ENERGIEKONTOR O.N.,DE0005313506,797,531350,EKT,XETR,http://www.finanzen.at/aktien/Energiekontor-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CARL ZEISS MEDITEC AG,DE0005313704,3344,531370,AFX,XETR,http://www.finanzen.at/aktien/Carl_Zeiss_Meditec-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
NANOFOCUS O.N.,DE0005400667,2710,540066,N2F,XETR,http://www.finanzen.at/aktien/NanoFocus-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CEWE STIFT.KGAA  O.N.,DE0005403901,1686,540390,CWC,XETR,http://www.finanzen.at/aktien/CEWE_Stiftung-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CENIT AG O.N.,DE0005407100,30,540710,CSH,XETR,http://www.finanzen.at/aktien/CENIT-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CENTROTEC SUSTAINABLE O.N,DE0005407506,577,540750,CEV,XETR,http://www.finanzen.at/aktien/CENTROTEC_Sustainable-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
AAREAL BANK AG,DE0005408116,1854,540811,ARL,XETR,http://www.finanzen.at/aktien/Aareal_Bank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OEKOWORLD AG VZNA O.N.,DE0005408686,4728,540868,VVV3,XETR,http://www.finanzen.at/aktien/OEKOWORLD-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LEONI AG NA O.N.,DE0005408884,661,540888,LEO,XETR,http://www.finanzen.at/aktien/LEONI-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CANCOM SE O.N.,DE0005419105,3076,541910,COK,XETR,http://www.finanzen.at/aktien/CANCOM-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
COMDIRECT BANK AG,DE0005428007,363,542800,COM,XETR,http://www.finanzen.at/aktien/comdirect_bank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
COMPUGROUP MED.SE O.N.,DE0005437305,9362,543730,COP,XETR,http://www.finanzen.at/aktien/CompuGroup_Medical-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CONTINENTAL AG O.N.,DE0005439004,32,543900,CON,XETR,http://www.finanzen.at/aktien/Continental-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CTS EVENTIM KGAA,DE0005470306,3800,547030,EVD,XETR,http://www.finanzen.at/aktien/CTS_Eventim-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LANXESS AG,DE0005470405,4423,547040,LXS,XETR,http://www.finanzen.at/aktien/LANXESS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
VARENGOLD BANK AG,DE0005479307,14789,547930,VG8,XETR,http://www.finanzen.at/aktien/Varengold_Wertpapierhandelsbank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALPHAFORM AG O.N.,DE0005487953,16970,548795,ATF,XETR,http://www.finanzen.at/aktien/Alphaform-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ISRA VISION O.N.,DE0005488100,4001,548810,ISR,XETR,http://www.finanzen.at/aktien/ISRA_VISION-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
UNITED LABELS O.N.,DE0005489561,12188,548956,ULC,XETR,http://www.finanzen.at/aktien/United_Labels-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MASTERFLEX O.N.,DE0005492938,16290,549293,MZX,XETR,http://www.finanzen.at/aktien/Masterflex-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BORUSSIA DORTMUND,DE0005493092,8692,549309,BVB,XETR,http://www.finanzen.at/aktien/BVB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HYPOPORT AG,DE0005493365,17906,549336,HYQ,XETR,http://www.finanzen.at/aktien/Hypoport-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EQS GROUP AG NA O.N.,DE0005494165,10233,549416,EQS,XETR,http://www.finanzen.at/aktien/EQS-Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CURASAN AG,DE0005494538,14513,549453,CUR,XETR,http://www.finanzen.at/aktien/curasan-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HOLIDAYCHECK GRP AG,DE0005495329,11987,549532,HOC,XETR,http://www.finanzen.at/aktien/HolidayCheck_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GERATHERM O.N.,DE0005495626,17214,549562,GME,XETR,http://www.finanzen.at/aktien/Geratherm_Medical-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DATA MODUL AG O.N.,DE0005498901,1675,549890,DAM,XETR,http://www.finanzen.at/aktien/DATA_MODUL-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
A.SPRINGER SE VNA,DE0005501357,8650,550135,SPR,XETR,http://www.finanzen.at/aktien/Axel_Springer-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DT.GRUNDST.AUKT.AG,DE0005533400,2637,553340,DGR,XETR,http://www.finanzen.at/aktien/Deutsche_Grundstueckauktionen-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DISKUS WERKE AG,DE0005538607,1662,553860,DIS,XETR,http://www.finanzen.at/aktien/Diskus_Werke-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DRILLISCH AG O.N.,DE0005545503,36,554550,DRI,XETR,http://www.finanzen.at/aktien/Drillisch-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DRAEGERWERK ST.A.O.N.,DE0005550602,9128,555060,DRW8,XETR,http://www.finanzen.at/aktien/Draegerwerk_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DRAEGERWERK VZO O.N.,DE0005550636,1660,555063,DRW3,XETR,http://www.finanzen.at/aktien/Draegerwerk-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DEUTSCHE POST AG NA O.N.,DE0005552004,11814,555200,DPW,XETR,http://www.finanzen.at/aktien/Deutsche_Post-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DT.TELEKOM AG NA,DE0005557508,3679,555750,DTE,XETR,http://www.finanzen.at/aktien/Deutsche_Telekom-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PARAGON AG,DE0005558696,20020,555869,PGN,XETR,http://www.finanzen.at/aktien/paragon-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DUERR AG O.N.,DE0005565204,39,556520,DUE,XETR,http://www.finanzen.at/aktien/Duerr-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
UMWELTBANK AG O.N.,DE0005570808,1955,557080,UBK,XETR,http://www.finanzen.at/aktien/Umweltbank-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DIERIG HOLDING AG O.N.,DE0005580005,665,558000,DIE,XETR,http://www.finanzen.at/aktien/Dierig-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EASY SOFTWARE AG,DE0005634000,2356,563400,ESY,XETR,http://www.finanzen.at/aktien/EASY_SOFTWARE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EDEL AG O.N.,DE0005649503,2543,564950,EDL,XETR,http://www.finanzen.at/aktien/Edel-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EINHELL GERMANY VZO O.N.,DE0005654933,1648,565493,EIN3,XETR,http://www.finanzen.at/aktien/Einhell_Germany-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ECKERT+ZIEGLER AG O.N.,DE0005659700,2620,565970,EUZ,XETR,http://www.finanzen.at/aktien/EckertZiegler_Strahlen-_und_Medizintechnik-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
EVOTEC AG O.N.,DE0005664809,3277,566480,EVT,XETR,http://www.finanzen.at/aktien/EVOTEC-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ELMOS SEMICONDUCTOR AG,DE0005677108,1775,567710,ELG,XETR,http://www.finanzen.at/aktien/Elmos_Semiconductor-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SMT SCHARF AG,DE0005751986,8484,575198,S4A,XETR,http://www.finanzen.at/aktien/SMT_Scharf-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LS TELCOM AG,DE0005754402,5584,575440,LSX,XETR,http://www.finanzen.at/aktien/LS_telcom-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SOFTSHIP AG O.N.,DE0005758304,14593,575830,SFO,XETR,http://www.finanzen.at/aktien/Softship-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INIT INNOVATION O.N.,DE0005759807,5027,575980,IXX,XETR,http://www.finanzen.at/aktien/init_-_innovation_in_traffic_systems-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FIELMANN AG O.N.,DE0005772206,4125,577220,FIE,XETR,http://www.finanzen.at/aktien/Fielmann-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FRAPORT AG FFM.AIRPORT,DE0005773303,10658,577330,FRA,XETR,http://www.finanzen.at/aktien/Fraport-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FORTEC ELEKTRO. O.N.,DE0005774103,1635,577410,FEV,XETR,http://www.finanzen.at/aktien/FORTEC_Elektronik-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FORIS AG,DE0005775803,2750,577580,FRS,XETR,http://www.finanzen.at/aktien/FORIS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FRESENIUS SE+CO.KGAA O.N.,DE0005785604,1634,578560,FRE,XETR,http://www.finanzen.at/aktien/Fresenius-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FRESEN.MED.CARE KGAA O.N.,DE0005785802,49,578580,FME,XETR,http://www.finanzen.at/aktien/Fresenius_Medical_Care-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FUCHS PETROLUB SE O.N.,DE0005790406,1629,579040,FPE,XETR,http://www.finanzen.at/aktien/FUCHS_PETROLUB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FUCHS PETROL.SE VZO O.N.,DE0005790430,1628,579043,FPE3,XETR,http://www.finanzen.at/aktien/FUCHS_PETROLUB_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GFT TECHNOLOGIES SE,DE0005800601,2670,580060,GFT,XETR,http://www.finanzen.at/aktien/GFT_Technologies_SE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DEUTSCHE BOERSE NA O.N.,DE0005810055,8669,581005,DB1,XETR,http://www.finanzen.at/aktien/Deutsche_Boerse_4-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ECOTEL COMMUNICATION AG,DE0005854343,10655,585434,E4C,XETR,http://www.finanzen.at/aktien/ecotel_communication-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MS INDUSTRIE AG,DE0005855183,14094,585518,MSAG,XETR,http://www.finanzen.at/aktien/MS_Industrie-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INVISION AG,DE0005859698,15538,585969,IVX,XETR,http://www.finanzen.at/aktien/InVision-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INTICA SYSTEMS AG,DE0005874846,2702,587484,IS7,XETR,http://www.finanzen.at/aktien/InTiCa_Systems-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GFK SE O.N.,DE0005875306,3103,587530,GFK,XETR,http://www.finanzen.at/aktien/GfK-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
DMG MORI AG O.N.,DE0005878003,1620,587800,GIL,XETR,http://www.finanzen.at/aktien/DMG_MORI-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GRAMMER AG O.N.,DE0005895403,1614,589540,GMM,XETR,http://www.finanzen.at/aktien/Grammer-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
GREIFFENBERGER AG O.N.,DE0005897300,12283,589730,GRF,XETR,http://www.finanzen.at/aktien/Greiffenberger-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BILFINGER SE O.N.,DE0005909006,54,590900,GBF,XETR,http://www.finanzen.at/aktien/Bilfinger-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
YOC AG O.N.,DE0005932735,11270,593273,YOC,XETR,http://www.finanzen.at/aktien/YOC-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
OHB SE   O.N.,DE0005936124,5457,593612,OHB,XETR,http://www.finanzen.at/aktien/OHB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MAN SE ST O.N.,DE0005937007,55,593700,MAN,XETR,http://www.finanzen.at/aktien/MAN-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MAN SE VZO O.N.,DE0005937031,56,593703,MAN3,XETR,http://www.finanzen.at/aktien/MAN_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
RINGMETALL AG O.N.,DE0006001902,5257,600190,HP3,XETR,http://www.finanzen.at/aktien/HPI-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HAMBORNER REIT AG O.N.,DE0006013006,1602,601300,HAB,XETR,http://www.finanzen.at/aktien/HAMBORNER_REIT_AG-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HAWESKO HOLDING AG    SVG,DE0006042708,1598,604270,HAW,XETR,http://www.finanzen.at/aktien/HAWESKO-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MATERNUS-KLI.AG O.N.,DE0006044001,1595,604400,MAK,XETR,http://www.finanzen.at/aktien/MATERNUS_Kliniken-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
BIOFRONTERA AG NA O.N.,DE0006046113,12390,604611,B8F,XETR,http://www.finanzen.at/aktien/Biofrontera-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HEIDELBERGCEMENT AG O.N.,DE0006047004,58,604700,HEI,XETR,http://www.finanzen.at/aktien/HeidelbergCement-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HENKEL AG+CO.KGAA ST O.N.,DE0006048408,59,604840,HEN,XETR,http://www.finanzen.at/aktien/Henkel-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HENKEL AG+CO.KGAA VZO,DE0006048432,60,604843,HEN3,XETR,http://www.finanzen.at/aktien/Henkel_vz-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
PELIKAN AG  O.N.,DE0006053101,679,605310,HEZ,XETR,http://www.finanzen.at/aktien/Pelikan-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KONTRON AG O.N.,DE0006053952,4641,605395,KBC,XETR,http://www.finanzen.at/aktien/Kontron-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HMS BERGBAU AG,DE0006061104,4471,606110,HMU,XETR,http://www.finanzen.at/aktien/HMS_Bergbau-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
COVESTRO AG  O.N.,DE0006062144,1183,606214,1COV,XETR,http://www.finanzen.at/aktien/Covestro-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HOCHTIEF AG,DE0006070006,63,607000,HOT,XETR,http://www.finanzen.at/aktien/HOCHTIEF-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HORNBACH HOLD.ST O.N.,DE0006083405,1488,608340,HBH,XETR,http://www.finanzen.at/aktien/Hornbach-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HORNBACH BAUMARKT AG O.N.,DE0006084403,1576,608440,HBM,XETR,http://www.finanzen.at/aktien/HORNBACH_Baumarkt-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
CAPITAL STAGE AG,DE0006095003,2324,609500,CAP,XETR,http://www.finanzen.at/aktien/Capital_Stage-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
HAEMATO AG O.N.,DE0006190705,267,619070,HAE,XETR,http://www.finanzen.at/aktien/HAEMATO-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
INDUS HOLDING AG,DE0006200108,1568,620010,INH,XETR,http://www.finanzen.at/aktien/INDUS-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
FRIWO AG O.N.,DE0006201106,1567,620110,CEA,XETR,http://www.finanzen.at/aktien/FRIWO-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
SALZGITTER AG O.N.,DE0006202005,1566,620200,SZG,XETR,http://www.finanzen.at/aktien/Salzgitter-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
KUKA AG,DE0006204407,68,620440,KU2,XETR,http://www.finanzen.at/aktien/KUKA_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MVISE AG O.N.,DE0006204589,3466,620458,C1V,XETR,http://www.finanzen.at/aktien/mVISE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ALBA SE O.N.,DE0006209901,1342,620990,ABA,XETR,http://www.finanzen.at/aktien/ALBA_SE-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
MUELLER-DIE LILA LOGISTIK,DE0006214687,4452,621468,MLL,XETR,http://www.finanzen.at/aktien/Mueller_-_Die_lila_Logistik-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
